Komoditas_Provinsi,MAPE
Gula Konsumsi_Jawa Barat,0.01913685118624164
Gula Konsumsi_Jawa Tengah,0.007102237043489904
Gula Konsumsi_Jawa Timur,0.006282566196854705
Gula Konsumsi_Kalimantan Barat,0.01443316844196
Gula Konsumsi_Kalimantan Selatan,0.011169790976197087
Gula Konsumsi_Kalimantan Tengah,0.00621549909261644
Gula Konsumsi_Kalimantan Timur,0.015464959008703899
Gula Konsumsi_Kalimantan Utara,0.00823051888833878
Gula Konsumsi_Kepulauan Bangka Belitung,0.008646487930935184
Gula Konsumsi_Kepulauan Riau,0.007788253352824233
Gula Konsumsi_Lampung,0.007268064570547506
Gula Konsumsi_Maluku Utara,0.007333952421192201
Gula Konsumsi_Maluku,0.010483150635154674
Gula Konsumsi_Nusa Tenggara Barat,0.008828704588280948
Gula Konsumsi_Nusa Tenggara Timur,0.007266621247475231
Gula Konsumsi_Papua Barat,0.02453023580370352
Gula Konsumsi_Papua,0.003830862538468576
Gula Konsumsi_Riau,0.00917856064132206
Gula Konsumsi_Sulawesi Barat,0.0062730074936626625
Gula Konsumsi_Sulawesi Selatan,0.004360219617413544
Gula Konsumsi_Sulawesi Tengah,0.007789796014427425
Gula Konsumsi_Sulawesi Tenggara,0.005371903649489249
Gula Konsumsi_Sulawesi Utara,0.007464478391203345
Gula Konsumsi_Sumatera Barat,0.02781838245971467
Gula Konsumsi_Sumatera Selatan,0.014757049618878628
Gula Konsumsi_Sumatera Utara,0.01385124469319508
Minyak Goreng Curah_Aceh,0.009037960899609433
Minyak Goreng Curah_Bali,0.014428107848026617
Minyak Goreng Curah_Banten,0.028987322912336827
Minyak Goreng Curah_Bengkulu,0.009678825212347062
Minyak Goreng Curah_DI Yogyakarta,0.013244499402452238
Minyak Goreng Curah_DKI Jakarta,0.017210085356734132
Minyak Goreng Curah_Gorontalo,0.018981261073186248
Minyak Goreng Curah_Jambi,0.009242192176384374
Minyak Goreng Curah_Jawa Barat,0.01133703911721168
Minyak Goreng Curah_Jawa Tengah,0.007526571772961646
Minyak Goreng Curah_Jawa Timur,0.007872530331618147
Minyak Goreng Curah_Kalimantan Barat,0.01620612103818414
Minyak Goreng Curah_Kalimantan Selatan,0.023932471149808777
Minyak Goreng Curah_Kalimantan Tengah,0.005994304070353946
Minyak Goreng Curah_Kalimantan Timur,0.017747903589724515
Minyak Goreng Curah_Kalimantan Utara,0.023234713009303777
Minyak Goreng Curah_Kepulauan Bangka Belitung,0.017912994948239332
Minyak Goreng Curah_Kepulauan Riau,0.017420682396317
Minyak Goreng Curah_Lampung,0.014748109699053597
Minyak Goreng Curah_Maluku Utara,0.0791194198306603
Minyak Goreng Curah_Maluku,0.021113313158108136
